player,missed_1st_made_2nd,missed_first,made_1st_made_2nd,made_first
Jason Collins,36,81,44,76
Jason Hart,7,9,36,39
Jason Kapono,11,12,47,52
Jason Kidd,59,75,235,283
Jason Maxiell,128,234,187,323
Jason Richardson,107,159,283,354
Jason Smith,57,69,176,211
Jason Terry,107,119,496,558
Jason Thompson,161,233,296,439
Jason Williams,15,17,64,71
Javaris Crittenton,14,26,34,52
Jawad Williams,6,8,11,15
Jeff Adrien,30,49,55,80
Jeff Ayres,15,16,23,30
Jeff Foster,53,86,87,129
Jeff Green,181,228,611,752
Jeff McInnis,8,9,14,19
Jeff Pendergraph,5,5,15,18
Jeff Taylor,9,14,11,17
Jeff Teague,129,146,561,639
Jeff Withey,18,25,42,58
Jeffery Taylor,17,21,28,35
Jerami Grant,39,80,105,153
Jeremy Evans,17,26,47,68
Jeremy Lamb,12,18,60,71
Jeremy Lin,96,124,402,494
Jeremy Pargo,15,17,15,24
Jeremy Richardson,0,1,2,2
Jeremy Tyler,15,23,15,22
Jerian Grant,8,11,34,42
Jermaine O'Neal,114,156,373,483
Jermaine Taylor,6,7,16,26
Jermareo Davidson,4,6,6,15
Jerome Dyson,2,5,11,11
Jerome James,0,2,4,7
Jerome Jordan,3,3,18,21
Jerry Stackhouse,33,38,177,198
Jerryd Bayless,78,97,340,392
Jimmer Fredette,7,8,66,74
Jimmy Butler,134,165,495,584
Joakim Noah,213,306,460,590
Jodie Meeks,31,35,253,283
Joe Alexander,8,13,21,24
Joe Harris,1,3,3,4
Joe Ingles,2,3,12,19
Joe Johnson,187,226,745,886
Joe Smith,56,68,146,174
Joe Young,2,2,7,9
Joel Anthony,51,78,103,137
Joel Freeland,5,8,22,28
Joel Przybilla,43,71,78,116
Joey Dorsey,15,45,10,32
Joey Graham,36,41,132,157
Joffrey Lauvergne,4,6,32,36
Johan Petro,27,43,68,94
John Henson,63,114,76,135
John Jenkins,9,9,28,31
John Lucas,12,13,22,25
John Salmons,138,163,468,543
John Wall,156,203,624,767
Johnny O'Bryant,7,11,11,17
Jon Brockman,15,27,28,35
Jon Leuer,22,33,62,78
Jonas Jerebko,50,66,149,193
Jonas Valanciunas,91,111,263,339
Jonathon Simmons,8,10,21,28
Jonny Flynn,34,39,99,114
Jordan Adams,6,7,2,6
Jordan Clarkson,33,37,106,123
Jordan Crawford,48,53,163,201
Jordan Farmar,46,62,126,171
Jordan Hamilton,8,12,21,32
Jordan Hill,74,113,168,220
Jordan McRae,2,2,6,9
Jordan Mickey,0,2,1,2
Jordan Williams,7,11,13,21
Jorge Garbajosa,8,12,20,25
Jorge Gutierrez,4,5,10,13
Jose Calderon,38,44,257,290
Jose Juan,39,55,167,205
Josh Boone,64,133,41,81
Josh Childress,47,62,138,176
Josh Davis,2,3,1,1
Josh Harrellson,5,6,7,11
Josh Howard,94,112,346,445
Josh McRoberts,39,59,111,141
Josh Powell,21,30,72,94
Josh Richardson,9,12,15,21
Josh Selby,3,3,5,7
Josh Smith,380,628,629,903
Jrue Holiday,69,91,298,367
Juan Carlos,5,7,43,53
Juan Dixon,8,11,64,65
Julian Wright,21,35,27,43
Julius Hodge,1,1,1,1
Julius Randle,31,40,58,79
Julyan Stone,3,3,5,6
Junior Harrington,7,7,8,15
Justin Anderson,5,8,20,24
Justin Dentmon,2,2,1,1
Justin Hamilton,4,5,17,18
Justin Holiday,10,11,23,30
Justin Reed,2,2,10,12
Justin Williams,13,30,5,10
Justise Winslow,12,21,31,45
Jusuf Nurkic,23,38,43,66
Juwan Howard,29,39,105,129
K.J. McDaniels,11,20,47,55
Kareem Rush,4,6,11,14
Karl-Anthony Towns,16,22,77,91
Kasib Powell,2,2,1,2
Kawhi Leonard,88,104,308,374
Keith Bogans,31,41,83,106
Keith McLeod,3,4,22,25
Kelenna Azubuike,49,57,124,152
Kelly Olynyk,31,47,100,128
Kelly Oubre,5,8,9,12
Kelvin Cato,2,3,3,3
Kemba Walker,120,143,486,564
Kendall Marshall,9,13,8,14
Kendrick Perkins,166,273,234,351
Kenneth Faried,150,214,243,339
Kenny Thomas,14,23,10,20
Kent Bazemore,39,71,103,139
Kentavious Caldwell-Pope,34,45,110,135
Kenyon Martin,116,191,128,206
Kevin Durant,284,322,1854,2086
Kevin Garnett,139,177,687,817
Kevin Jones,4,4,2,3
Kevin Love,239,279,882,1055
Kevin Martin,206,224,1222,1365
Kevin Ollie,8,8,50,64
Kevin Seraphin,42,57,79,92
Keyon Dooling,42,54,199,233
Khris Middleton,26,31,198,222
Kim English,4,4,6,7
Kirk Hinrich,90,108,302,368
Kirk Snyder,13,23,38,46
Klay Thompson,59,73,325,380
Kobe Bryant,333,382,1607,1872
Kosta Koufos,67,112,94,140
Kosta Perovic,1,1,1,2
Kostas Papanikolaou,3,5,7,10
Kris Humphries,148,192,327,431
Kris Joseph,1,2,2,2
Kristaps Porzingis,15,17,75,94
Kurt Thomas,35,43,69,95
Kwame Brown,83,178,83,148
Kyle Anderson,11,14,24,30
Kyle Korver,45,50,272,285
Kyle Lowry,229,281,779,929
Kyle O'Quinn,24,32,56,75
Kyle Singler,25,33,109,141
Kyle Weaver,3,8,19,23
Kyrie Irving,74,87,457,506
Kyrylo Fesenko,16,41,12,29
LaMarcus Aldridge,220,293,982,1201
Lamar Odom,182,274,335,488
Lamar Patterson,4,4,5,6
Lance Stephenson,63,86,135,187
Lance Thomas,27,32,90,116
Landry Fields,46,62,70,100
Langston Galloway,12,19,49,56
Larry Hughes,64,87,216,271
Larry Nance,6,7,8,13
Larry Owens,3,3,1,2
Larry Sanders,31,67,44,83
Lavoy Allen,25,37,54,78
Lawrence Roberts,7,11,32,44
Lazar Hayward,5,7,16,21
LeBron James,730,951,1871,2389
Leandro Barbosa,85,105,373,441
Leon Powe,78,114,173,247
Lester Hudson,3,4,16,19
Linas Kleiza,59,81,210,264
Lindsey Hunter,3,4,19,22
Linton Johnson,3,3,13,15
Lorenzen Wright,4,12,3,8
Lorenzo Brown,3,4,7,12
Lou Amundson,22,46,12,32
Lou Williams,97,114,363,434
Louis Amundson,51,111,41,94
Louis Williams,99,120,379,442
Luc Mbah,5,7,16,20
Luc Richard,113,168,193,280
Lucas Nogueira,1,4,3,5
Luigi Datome,0,1,4,4
Luis Montero,1,1,1,1
Luis Scola,188,255,514,676
Luke Babbitt,13,16,31,42
Luke Harangody,6,6,9,11
Luke Jackson,5,7,8,10
Luke Ridnour,49,55,303,362
Luke Walton,44,56,87,127
Luol Deng,245,308,777,955
Luther Head,31,32,76,87
Lynn Greer,1,1,12,12
Maalik Wayns,1,1,7,7
Maceo Baston,10,11,18,24
Malcolm Lee,3,5,9,13
Malcolm Thomas,3,7,6,7
Malik Allen,8,12,26,31
Malik Hairston,1,5,6,9
Malik Rose,12,16,41,51
Manny Harris,12,16,40,53
Manu Ginobili,192,220,898,1054
MarShon Brooks,19,29,64,84
Marc Gasol,230,312,777,989
Marc Jackson,4,5,34,39
Marcin Gortat,143,213,300,411
Marco Belinelli,68,84,280,316
Marcus Banks,14,16,40,51
Marcus Camby,93,147,194,256
Marcus Landry,1,1,1,1
Marcus Morris,78,112,148,190
Marcus Smart,32,41,61,83
Marcus Thornton,64,71,259,308
Marcus Vinicius,3,4,3,3
Marcus Williams,16,23,51,63
Mardy Collins,26,38,29,41
Mario Chalmers,119,143,364,449
Mario Hezonja,4,4,19,20
Mario West,10,15,6,16
Mark Blount,39,52,76,98
Mark Madsen,6,14,4,8
Markel Brown,20,21,39,47
Markieff Morris,89,113,239,300
Marko Jaric,31,38,70,89
Marquis Daniels,62,81,112,150
Marquis Teague,2,5,12,19
Marreese Speights,113,134,311,378
Marshon Brooks,1,1,6,7
Martell Webster,70,94,264,320
Marvin Williams,143,172,572,683
Mason Plumlee,95,168,146,237
Matt Barnes,94,128,326,417
Matt Bonner,24,30,75,90
Matt Carroll,18,22,119,143
Matt Freije,1,1,2,2
Matt Harpring,62,76,161,215
Matthew Dellavedova,20,22,54,68
Maurice Ager,7,12,8,15
Maurice Evans,35,45,127,149
Maurice Harkless,41,73,62,92
Maurice Taylor,1,1,2,5
Mehmet Okur,100,123,343,414
Melvin Ely,17,28,31,55
Metta World,42,60,78,109
Meyers Leonard,10,14,52,64
Michael Beasley,106,136,298,369
Michael Carter-Williams,99,125,159,239
Michael Doleac,2,2,14,18
Michael Finley,18,23,73,79
Michael Kidd-Gilchrist,77,104,127,170
Michael Redd,81,102,340,392
Michael Ruffin,13,25,5,17
Michael Sweetney,3,7,3,6
Mickael Gelabale,9,9,32,43
Mickael Pietrus,81,123,153,215
Mickell Gladness,1,2,1,3
Mike Bibby,63,74,215,260
Mike Conley,149,179,589,737
Mike Dunleavy,111,131,415,485
Mike Harris,5,6,15,19
Mike James,24,29,103,127
Mike Miller,58,72,166,211
Mike Muscala,5,6,26,30
Mike Scott,31,39,98,121
Mike Sweetney,6,7,6,8
Mike Taylor,9,13,19,24
Mike Wilks,3,5,15,16
Mikki Moore,43,64,118,160
Miles Plumlee,31,55,32,54
Miroslav Raduljica,4,4,17,22
Mirza Teletovic,17,27,73,91
Mitch McGary,11,13,6,8
Mo Williams,75,89,436,483
Moe Harkless,7,16,10,19
Monta Ellis,239,322,893,1126
Montrezl Harrell,5,9,5,13
Morris Almond,4,4,9,10
Morris Peterson,25,38,55,77
Mouhamed Sene,5,10,9,16
Mustafa Shakur,3,5,2,3
Myles Turner,16,20,30,36
Nando de,8,9,28,29
Nate Robinson,93,107,302,366
Nate Wolters,11,15,17,28
Nathan Jawai,1,3,8,12
Nazr Mohammed,75,114,106,176
Nemanja Bjelica,5,6,14,17
Nenad Krstic,51,62,131,179
Nene,282,431,575,804
Nerlens Noel,39,73,78,132
Nick Calathes,17,26,19,27
Nick Collison,97,131,257,341
Nick Fazekas,2,2,5,7
Nick Johnson,0,4,8,8
Nick Young,96,112,382,438
Nicolas Batum,73,89,320,369
Nik Stauskas,18,21,44,51
Nikola Jokic,12,18,55,63
Nikola Mirotic,35,44,121,154
Nikola Pekovic,102,124,261,339
Nikola Vucevic,67,87,162,204
Noah Vonleh,9,12,19,24
Nolan Smith,7,10,14,15
Norman Powell,4,5,20,22
Norris Cole,39,52,107,134
O.J. Mayo,85,104,378,442
Ognjen Kuzmic,4,4,2,3
Oleksiy Pecherov,8,12,31,32
Omer Asik,135,237,151,258
Omri Casspi,87,142,194,258
Orien Greene,6,7,4,4
Orlando Johnson,7,9,14,22
Othella Harrington,4,5,9,14
Othello Hunter,1,3,1,1
Othyus Jeffers,8,11,14,21
Otto Porter,36,39,46,56
P.J. Brown,25,27,51,60
P.J. Hairston,4,6,25,33
P.J. Tucker,55,69,146,188
Pablo Prigioni,7,7,28,34
Pape Sow,1,1,1,1
Pape Sy,1,1,1,2
Pat Burke,2,2,2,3
Pat Garrity,1,1,7,9
Patrick Beverley,32,39,83,102
Patrick Mills,6,8,17,22
Patrick O'Bryant,10,13,7,9
Patrick Patterson,35,49,106,129
Patty Mills,18,18,62,71
Pau Gasol,345,426,1038,1303
Paul Davis,4,7,15,19
Paul George,113,139,557,643
Paul Millsap,323,436,811,1089
Paul Pierce,316,370,1286,1484
Peja Stojakovic,20,22,133,145
Pero Antic,18,23,46,65
Perry Jones,11,16,20,25
Peyton Siva,1,1,4,5
Phil Pressey,17,23,21,33
Pooh Jeter,2,2,13,13
Pops Mensah-Bonsu,13,19,9,20
Primoz Brezec,16,25,17,27
Quentin Richardson,49,66,112,140
Quincy Acy,25,33,61,80
Quincy Douby,4,4,28,32
Quincy Miller,4,9,17,21
Quincy Pondexter,30,41,70,93
Quinton Ross,18,24,52,68
R.J. Hunter,1,1,2,2
Raef LaFrentz,7,8,8,10
Rafael Araujo,5,10,7,9
Rafer Alston,60,80,165,225
Raja Bell,28,34,159,186
Rajon Rondo,244,369,332,493
Ramon Sessions,205,261,735,885
Randolph Morris,10,17,9,13
Randy Foye,78,90,412,468
Rashad McCants,37,44,77,102
Rashard Lewis,99,112,370,443
Rasheed Wallace,47,66,179,221
Rasho Nesterovic,11,13,31,45
Rasual Butler,46,56,116,145
Raul Neto,6,9,18,22
Rawle Marshall,7,10,11,12
Ray Allen,66,74,564,612
Ray McCallum,15,18,29,45
Raymond Felton,158,190,499,615
Reggie Bullock,2,2,8,11
Reggie Evans,179,328,178,306
Reggie Jackson,40,54,296,328
Reggie Williams,14,23,63,82
Renaldo Balkman,24,51,40,69
Richard Hamilton,95,107,488,561
Richard Jefferson,253,311,671,838
Richaun Holmes,5,7,15,25
Ricky Davis,46,55,153,177
Ricky Ledo,4,5,7,7
Ricky Rubio,70,90,325,391
Rob Kurz,2,3,14,20
Robbie Hummel,0,1,15,19
Robert Covington,24,31,99,117
Robert Hite,2,2,1,3
Robert Horry,12,18,21,32
Robert Sacre,36,44,45,64
Robert Swift,2,3,5,5
Robin Lopez,107,134,318,406
Rodney Carney,31,40,76,103
Rodney Hood,12,14,74,94
Rodney Stuckey,167,195,717,847
Rodrigue Beaubois,11,15,55,63
Roger Mason,15,16,72,80
Roko Ukic,6,8,16,20
Ron Artest,124,178,335,438
Ronald Dupree,0,2,2,3
Ronald Murray,65,83,179,225
Rondae Hollis-Jefferson,7,8,11,17
Ronnie Brewer,100,158,235,344
Ronnie Price,39,54,100,130
Ronny Turiaf,66,119,147,228
Roy Hibbert,191,244,491,618
Royal Ivey,30,41,55,69
Ruben Patterson,39,63,75,113
